ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,repeat_n,adx_value,adx_regime,btc_adx_regime,decision,outcome,ret_pct,r_mult,mfe_pct,mae_pct,hours,confirm_fired,confirm_outcome,confirm_r,alt_outcome,alt_r
2026-08-21T03:00:54.344618-05:00,oraclealgo,BTC-USDT,buy,,,BOS,bull,76368.4,,,,,1,1,,,bull_trending_strong,enter,win_full,3.0,2.0,4.127,0.145,0.9,,,,win_full,1.5
2026-08-21T04:52:05.232057-05:00,rsi_extreme,ENA-USDT,sell,90.3,45.79,,bull,0.1403,True,True,False,False,,6,82.9,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,4.669,5.203,4.6,yes,loss_sl,-1.0,tp_then_be,0.375
2026-08-21T09:03:17.677581-05:00,rsi_extreme,ZORA-USDT,sell,90.0,42.52,,bull,0.007274,True,True,False,False,,1,62.4,trending_strong,bull_trending_strong,sell_regime,win_full,7.5,1.5,13.088,1.169,15.1,yes,win_full,1.5,win_full,1.375
2026-08-21T09:52:08.899187-05:00,rsi_extreme,TIA-USDT,sell,90.2,16.62,,bull,0.387,True,True,False,False,,1,64.6,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,2.997,5.194,11.2,no,,,loss_sl,-1.0
2026-08-21T10:15:25.236174-05:00,rsi_extreme,BCH-USDT,sell,90.0,27.65,,bull,283.8,True,True,False,False,,2,66.7,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,0.44,5.356,1.7,no,,,loss_sl,-1.0
2026-08-21T12:15:48.997193-05:00,rsi_extreme,BCH-USDT,sell,92.7,32.37,,bull,298.0,True,True,False,False,,3,70.0,trending_strong,bull_trending_strong,sell_regime,tp_then_be,2.5,0.5,6.54,0.534,8.8,yes,tp_then_be,0.5,tp_then_be,0.375
2026-08-21T14:25:12.651519-05:00,rsi_extreme,STX-USDT,sell,90.2,24.68,,bull,0.1768,True,True,False,False,,1,82.2,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,1.527,5.826,2.6,yes,loss_sl,-1.0,loss_sl,-1.0
2026-08-21T16:34:15.106845-05:00,rsi_extreme,STX-USDT,sell,90.8,28.11,,bull,0.1814,True,True,False,False,,2,83.5,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,0.662,5.017,0.8,yes,loss_sl,-1.0,loss_sl,-1.0
2026-08-21T17:01:34.140324-05:00,oraclealgo,BTC-USDT,buy,,,BOS,bull,78298.5,,,,,1,2,,,bull_trending_strong,enter,loss_sl,-1.5,-1.0,0.685,2.297,7.2,,,,loss_sl,-1.0
2026-08-21T18:31:03.121561-05:00,rsi_extreme,ETC-USDT,sell,90.0,18.64,,bull,8.27,True,True,False,False,,1,72.9,trending_strong,bull_trending_strong,sell_regime,loss_sl,-5.0,-1.0,0.992,5.127,1.1,yes,loss_sl,-1.0,loss_sl,-1.0
