ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,repeat_n,adx_value,adx_regime,btc_adx_regime,decision
2026-07-07T13:41:40.607370-05:00,rsi_extreme,VELVET-USDT,buy,15.0,-24.84,,,0.3761,True,True,,False,,2,43.1,trending_strong,bull_indecisive,repeat_alert
2026-07-07T16:25:33.500150-05:00,rsi_extreme,GRASS-USDT,buy,15.0,-20.7,,,0.4226,True,True,,False,,1,31.2,trending_strong,bull_indecisive,pending_confirm
2026-07-07T19:11:24.671024-05:00,rsi_extreme,AGLD-USDT,sell,90.1,27.06,,,0.1845,True,True,,False,,1,53.0,trending_strong,bull_indecisive,pending_confirm
2026-07-07T21:01:26.571899-05:00,oraclealgo,BTC-USDT,sell,,,,stale-bull,62877.0,,,,,1,,,,bull_ranging_calm,no_bias
2026-07-07T22:55:39.957985-05:00,rsi_extreme,GRASS-USDT,buy,14.9,-32.3,,,0.3601,True,True,,False,,2,46.9,trending_strong,bull_ranging_calm,repeat_alert
2026-07-07T23:01:24.085401-05:00,oraclealgo,BTC-USDT,sell,,,MSS,stale-bull,62726.5,,,,,1,,,,bull_ranging_calm,no_bias
2026-07-08T00:55:33.907269-05:00,rsi_extreme,GRASS-USDT,buy,13.8,-36.06,,,0.3425,True,True,,False,,3,51.9,trending_strong,bull_ranging_calm,repeat_alert
2026-07-08T04:07:24.405133-05:00,rsi_extreme,MYX-USDT,buy,14.5,-21.97,,bear,0.0627,True,True,False,False,,1,38.4,trending_strong,bull_ranging_calm,pending_confirm
2026-07-08T07:50:28.209852-05:00,rsi_extreme,GWEI-USDT,buy,14.9,-26.3,,bear,0.0844,True,True,False,False,,1,72.8,trending_strong,bull_ranging_calm,pending_confirm
2026-07-08T13:13:54.977891-05:00,rsi_extreme,POWER-USDT,sell,90.3,49.99,,,0.112,True,True,,False,,1,52.9,trending_strong,bull_ranging_calm,pending_confirm
2026-07-08T15:14:09.132331-05:00,rsi_extreme,POWER-USDT,sell,91.2,56.26,,,0.1147,True,True,,False,,2,58.5,trending_strong,bull_ranging_calm,repeat_alert
2026-07-09T03:55:03.560989-05:00,rsi_extreme,10000NEX-USDT,sell,90.3,33.56,,,0.0351,True,True,,False,,1,,,bull_ranging_calm,pending_confirm
2026-07-09T05:01:19.731660-05:00,rsi_extreme,TAC-USDT,buy,13.9,-16.25,,,0.002618,True,True,,False,,1,,,bull_ranging_calm,pending_confirm
2026-07-09T07:02:27.402201-05:00,rsi_extreme,TAC-USDT,buy,11.3,-20.57,,,0.002637,True,True,,False,,2,,,bull_ranging_calm,repeat_alert
2026-07-09T09:02:23.496142-05:00,rsi_extreme,TAC-USDT,buy,12.3,-19.09,,,0.002678,True,True,,False,,3,,,bull_ranging_calm,repeat_alert
2026-07-09T13:01:30.969219-05:00,oraclealgo,BTC-USDT,buy,,,,stale-bear,63156.2,,,,,1,,,,bull_ranging_calm,no_bias
2026-07-09T14:00:36.448196-05:00,rsi_extreme,US-USDT,sell,90.6,59.56,,,0.0296,True,True,,False,,1,40.7,trending_strong,bull_ranging_calm,pending_confirm
2026-07-09T21:01:08.028441-05:00,oraclealgo,BTC-USDT,buy,,,MSS,stale-bear,63775.3,,,,,1,,,,bull_ranging_calm,no_bias
2026-07-10T01:20:03.877059-05:00,rsi_extreme,SKL-USDT,sell,90.2,65.76,,,0.00578,True,True,,False,,1,66.0,trending_strong,bull_ranging_calm,pending_confirm
2026-07-10T03:20:37.120401-05:00,rsi_extreme,SKL-USDT,sell,90.3,65.53,,,0.00581,True,True,,False,,2,68.7,trending_strong,bull_ranging_calm,repeat_alert
2026-07-10T04:23:43.602495-05:00,rsi_extreme,VELVET-USDT,sell,90.0,55.87,,,0.6431,True,True,,False,,1,43.1,trending_strong,bull_ranging_calm,pending_confirm
2026-07-10T13:12:41.680671-05:00,rsi_extreme,XPIN-USDT,sell,90.2,24.0,,bull,0.001841,True,True,False,False,,1,43.6,trending_strong,bull_indecisive,pending_confirm
2026-07-10T21:06:37.938545-05:00,rsi_extreme,VIRTUAL-USDT,sell,90.1,17.93,,,0.6318,True,True,,True,,1,55.4,trending_strong,bull_indecisive,pending_confirm
2026-07-11T02:13:59.498489-05:00,rsi_extreme,GWEI-USDT,buy,15.0,-27.33,,,0.0562,True,True,,False,,1,47.5,trending_strong,bull_indecisive,pending_confirm
2026-07-11T04:47:21.433230-05:00,rsi_extreme,ELSA-USDT,sell,90.4,20.36,,,0.0605,True,True,,False,,1,51.6,trending_strong,bull_indecisive,pending_confirm
2026-07-11T08:39:14.464854-05:00,rsi_extreme,CAP-USDT,buy,14.6,-16.38,,,0.0168,True,True,,False,,1,,,bull_indecisive,pending_confirm
